page_order,source_url,website_section_id,section_numbers,chapter,cache_path
69,https://doctrineandcovenants.com/sections/1835dcs/section-71/,71,71,71,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_71.html
70,https://doctrineandcovenants.com/sections/1835dcs/section-72/,72,72,72,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_72.html
71,https://doctrineandcovenants.com/sections/1835dcs/section-73/,73,73,73,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_73.html
72,https://doctrineandcovenants.com/sections/1835dcs/section-74/,74,74,74,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_74.html
73,https://doctrineandcovenants.com/sections/1835dcs/section-75/,75,75,75,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_75.html
74,https://doctrineandcovenants.com/sections/1835dcs/section-76/,76,76,76,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_76.html
75,https://doctrineandcovenants.com/sections/1835dcs/sections-77-78/,77-78,"77,78",77,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_77-78.html
76,https://doctrineandcovenants.com/sections/1835dcs/section-79/,79,79,79,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_79.html
77,https://doctrineandcovenants.com/sections/1835dcs/section-80/,80,80,80,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_80.html
78,https://doctrineandcovenants.com/sections/1835dcs/section-81/,81,81,81,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_81.html
79,https://doctrineandcovenants.com/sections/1835dcs/section-82/,82,82,82,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_82.html
80,https://doctrineandcovenants.com/sections/1835dcs/section-83/,83,83,83,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_83.html
81,https://doctrineandcovenants.com/sections/1835dcs/section-84/,84,84,84,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_84.html
82,https://doctrineandcovenants.com/sections/1835dcs/sections-85-86/,85-86,"85,86",85,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_85-86.html
83,https://doctrineandcovenants.com/sections/1835dcs/sections-87-88/,87-88,"87,88",87,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_87-88.html
84,https://doctrineandcovenants.com/sections/1835dcs/section-89/,89,89,89,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_89.html
85,https://doctrineandcovenants.com/sections/1835dcs/section-90/,90,90,90,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_90.html
86,https://doctrineandcovenants.com/sections/1835dcs/section-91/,91,91,91,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_91.html
87,https://doctrineandcovenants.com/sections/1835dcs/section-92/,92,92,92,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_92.html
88,https://doctrineandcovenants.com/sections/1835dcs/section-93/,93,93,93,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_93.html
89,https://doctrineandcovenants.com/sections/1835dcs/section-94/,94,94,94,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_94.html
90,https://doctrineandcovenants.com/sections/1835dcs/section-95/,95,95,95,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_95.html
91,https://doctrineandcovenants.com/sections/1835dcs/section-96/,96,96,96,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_96.html
92,https://doctrineandcovenants.com/sections/1835dcs/section-97/,97,97,97,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_97.html
93,https://doctrineandcovenants.com/sections/1835dcs/section-98/,98,98,98,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_98.html
94,https://doctrineandcovenants.com/sections/1835dcs/section-99/,99,99,99,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_99.html
95,https://doctrineandcovenants.com/sections/1835dcs/section-100/,100,100,100,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_100.html
96,https://doctrineandcovenants.com/sections/1835dcs/section-101/,101,101,101,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_101.html
97,https://doctrineandcovenants.com/sections/1835dcs/section-102/,102,102,102,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_102.html
98,https://doctrineandcovenants.com/sections/1835dcs/section-103/,103,103,103,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_103.html
99,https://doctrineandcovenants.com/sections/1835dcs/section-104/,104,104,104,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_104.html
100,https://doctrineandcovenants.com/sections/1835dcs/section-105/,105,105,105,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_105.html
101,https://doctrineandcovenants.com/sections/1835dcs/section-106/,106,106,106,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_106.html
102,https://doctrineandcovenants.com/sections/1835dcs/section-107/,107,107,107,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_107.html
103,https://doctrineandcovenants.com/sections/1835dcs/sections-108-109-110-111-112/,108-109-110-111-112,"108,109,110,111,112",108,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_108-109-110-111-112.html
104,https://doctrineandcovenants.com/sections/1835dcs/sections-113-114-115-116-117-118-119/,113-114-115-116-117-118-119,"113,114,115,116,117,118,119",113,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_113-114-115-116-117-118-119.html
105,https://doctrineandcovenants.com/sections/1835dcs/sections-120-121-122-123-124/,120-121-122-123-124,"120,121,122,123,124",120,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_120-121-122-123-124.html
106,https://doctrineandcovenants.com/sections/1835dcs/sections-125-126-127/,125-126-127,"125,126,127",125,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_125-126-127.html
107,https://doctrineandcovenants.com/sections/1835dcs/section-128/,128,128,128,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_128.html
108,https://doctrineandcovenants.com/sections/1835dcs/sections-129-130-131-132-133/,129-130-131-132-133,"129,130,131,132,133",129,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_129-130-131-132-133.html
109,https://doctrineandcovenants.com/sections/1835dcs/section-134/,134,134,134,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_134.html
