doc_id,neighbor_doc_id,similarity,rank
Isaiah_29,1 Kings,0.6274429316011305,9
Isaiah_29,Isaiah_36_39,0.6211707266129494,10
Isaiah_30,Isaiah_1_35,0.7780732754255756,1
Isaiah_30,Ezekiel,0.7187977078006755,2
Isaiah_30,Jeremiah,0.717117264483784,3
Isaiah_30,Isaiah_56_66,0.7006219798031358,4
Isaiah_30,Amos,0.6963533984283632,5
Isaiah_30,Isaiah_40_55,0.6963219276140918,6
Isaiah_30,Hosea,0.6670983947017111,7
Isaiah_30,1 Kings,0.6564934711746281,8
Isaiah_30,Isaiah_36_39,0.6516910680938813,9
Isaiah_30,2 Kings,0.6497213279911743,10
Isaiah_31,Isaiah_1_35,0.6720218858894641,1
Isaiah_31,Jeremiah,0.620530007164154,2
Isaiah_31,Hosea,0.6198744945440635,3
Isaiah_31,Isaiah_56_66,0.6178218503291102,4
Isaiah_31,Isaiah_40_55,0.6172371514581776,5
Isaiah_31,Amos,0.6163860766333302,6
Isaiah_31,Ezekiel,0.6121201575811708,7
Isaiah_31,1 Kings,0.584982695279509,8
Isaiah_31,2 Kings,0.5819634831687323,9
Isaiah_31,Isaiah_36_39,0.5812744470717898,10
Isaiah_32,Isaiah_1_35,0.6722786320547517,1
Isaiah_32,Isaiah_56_66,0.6133072779141518,2
Isaiah_32,Isaiah_40_55,0.5976481324855195,3
Isaiah_32,Ezekiel,0.5922433762822428,4
Isaiah_32,Jeremiah,0.5893596839687861,5
Isaiah_32,Amos,0.5871303197322394,6
Isaiah_32,Hosea,0.5839679823324344,7
Isaiah_32,Proverbs,0.5798574338175583,8
Isaiah_32,Psalms,0.5768311068750631,9
Isaiah_32,Job,0.57098899171919,10
Isaiah_33,Isaiah_1_35,0.6858978656604896,1
Isaiah_33,Isaiah_40_55,0.6368211380188419,2
Isaiah_33,Isaiah_56_66,0.6320408276291964,3
Isaiah_33,Job,0.6151251503244228,4
Isaiah_33,Hosea,0.6146426863621492,5
Isaiah_33,Psalms,0.6115695041084835,6
Isaiah_33,Jeremiah,0.6099619254517491,7
Isaiah_33,Proverbs,0.6041578565078368,8
Isaiah_33,Ezekiel,0.6026302924000367,9
Isaiah_33,Amos,0.598055125198619,10
Isaiah_34,Isaiah_1_35,0.7163733784047329,1
Isaiah_34,Isaiah_56_66,0.6480711544212634,2
Isaiah_34,Ezekiel,0.6449986650999736,3
Isaiah_34,Hosea,0.6434360326805969,4
Isaiah_34,Jeremiah,0.6346760533872655,5
Isaiah_34,Isaiah_40_55,0.6314277451735021,6
Isaiah_34,Amos,0.6071682481480615,7
Isaiah_34,1 Kings,0.5838199016993142,8
Isaiah_34,2 Kings,0.5812346316910814,9
Isaiah_34,Isaiah_36_39,0.5738938761559311,10
Isaiah_35,Isaiah_1_35,0.6656189272325062,1
Isaiah_35,Isaiah_56_66,0.6045947004849427,2
Isaiah_35,Ezekiel,0.6016248714157723,3
Isaiah_35,Isaiah_40_55,0.5935784043942159,4
Isaiah_35,Amos,0.5934039625878541,5
Isaiah_35,Jeremiah,0.5897774059519054,6
Isaiah_35,Hosea,0.5827687225653824,7
Isaiah_35,Isaiah_36_39,0.5398567778465547,8
Isaiah_35,1 Kings,0.5364536576640225,9
Isaiah_35,2 Kings,0.5330894399946298,10
Isaiah_36,Isaiah_36_39,0.8403793933925366,1
Isaiah_36,2 Kings,0.6841366454480985,2
Isaiah_36,Jeremiah,0.6589587101667269,3
Isaiah_36,1 Kings,0.6407610292673903,4
Isaiah_36,2 Samuel,0.6405032637077842,5
Isaiah_36,1 Samuel,0.6261725753645689,6
Isaiah_36,Isaiah_1_35,0.6242226873774694,7
Isaiah_36,Ezekiel,0.6210676949721724,8
Isaiah_36,Amos,0.6131329152063021,9
Isaiah_36,Isaiah_40_55,0.6118923124393307,10
Isaiah_37,Isaiah_36_39,0.9020941428363873,1
Isaiah_37,2 Kings,0.7585250918657706,2
Isaiah_37,Jeremiah,0.7442550636496424,3
Isaiah_37,1 Kings,0.7275508249714937,4
Isaiah_37,Ezekiel,0.7214074535897984,5
Isaiah_37,Isaiah_1_35,0.7118292732457099,6
Isaiah_37,2 Samuel,0.7016522083776581,7
Isaiah_37,Amos,0.6948346325568648,8
Isaiah_37,Isaiah_40_55,0.6937549800789355,9
Isaiah_37,1 Samuel,0.6914956696440261,10
Isaiah_38,Isaiah_36_39,0.7997859127886422,1
Isaiah_38,Jeremiah,0.6697461519627427,2
Isaiah_38,Isaiah_40_55,0.6554638989425179,3
Isaiah_38,Ezekiel,0.6553860156662881,4
Isaiah_38,Isaiah_56_66,0.6422554550919803,5
Isaiah_38,Isaiah_1_35,0.6380253815050548,6
Isaiah_38,Hosea,0.6342191271217272,7
Isaiah_38,Amos,0.6341980430126952,8
Isaiah_38,Psalms,0.6326145943483791,9
Isaiah_38,2 Kings,0.6292711260558657,10
Isaiah_39,Isaiah_36_39,0.7044778419941264,1
Isaiah_39,2 Kings,0.5978720463937518,2
Isaiah_39,Jeremiah,0.5867513587788883,3
