feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char4,Isaiah_14,Prophetic,0.8076405455332699,1
char,char4,Isaiah_14,Poetic/Wisdom,0.757570635929047,2
char,char4,Isaiah_14,Narrative,0.7065765211889993,3
char,char4,Isaiah_15,Prophetic,0.48830439808969806,1
char,char4,Isaiah_15,Poetic/Wisdom,0.44069598186019276,2
char,char4,Isaiah_15,Narrative,0.4114697677300428,3
char,char4,Isaiah_16,Prophetic,0.6158957351301847,1
char,char4,Isaiah_16,Poetic/Wisdom,0.5816399536060872,2
char,char4,Isaiah_16,Narrative,0.5259229522384715,3
char,char4,Isaiah_17,Prophetic,0.6589930295042669,1
char,char4,Isaiah_17,Poetic/Wisdom,0.5987875666385327,2
char,char4,Isaiah_17,Narrative,0.5637814300128745,3
char,char4,Isaiah_18,Prophetic,0.55177805142535985,1
char,char4,Isaiah_18,Poetic/Wisdom,0.5029317569167537,2
char,char4,Isaiah_18,Narrative,0.48642409576231804,3
char,char4,Isaiah_19,Prophetic,0.6992090310553712,1
char,char4,Isaiah_19,Narrative,0.5998414425611794,2
char,char4,Isaiah_19,Poetic/Wisdom,0.5992924026254879,3
char,char4,Isaiah_20,Narrative,0.40080719926495545,1
char,char4,Isaiah_20,Prophetic,0.4006888543943736,2
char,char4,Isaiah_20,Poetic/Wisdom,0.34588658036270337,3
char,char4,Isaiah_21,Prophetic,0.5657281675434175,1
char,char4,Isaiah_21,Poetic/Wisdom,0.5392652711009923,2
char,char4,Isaiah_21,Narrative,0.5297315666043328,3
char,char4,Isaiah_22,Prophetic,0.7360402364327554,1
char,char4,Isaiah_22,Narrative,0.6804042583229858,2
char,char4,Isaiah_22,Poetic/Wisdom,0.6689707216711176,3
char,char4,Isaiah_23,Prophetic,0.5720900477615276,1
char,char4,Isaiah_23,Poetic/Wisdom,0.5377486783150791,2
char,char4,Isaiah_23,Narrative,0.4989079728337016,3
char,char4,Isaiah_24,Prophetic,0.7313442518907144,1
char,char4,Isaiah_24,Poetic/Wisdom,0.675541264816766,2
char,char4,Isaiah_24,Narrative,0.6176138102897284,3
char,char4,Isaiah_25,Prophetic,0.6278169099331015,1
