pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC193,193,7.138032449407539e-18,1.3291964044643596e-19,1.3291964044643596e-17,1,100
PC194,194,6.993379731823961e-18,1.302260148084067e-19,1.3022601480840667e-17,1,100
PC195,195,6.939048966343968e-18,1.2921430382726935e-19,1.2921430382726934e-17,1,100
PC196,196,6.620505754829796e-18,1.232826063404316e-19,1.2328260634043163e-17,1,100
PC197,197,6.514666049914754e-18,1.2131173052528568e-19,1.2131173052528568e-17,1,100
PC198,198,6.450166469076703e-18,1.2011066270236607e-19,1.2011066270236608e-17,1,100
PC199,199,6.079426080129557e-18,1.132069844763142e-19,1.132069844763142e-17,1,100
PC200,200,5.3684529680265556e-18,9.996772126230929e-20,9.99677212623093e-18,1,100
PC201,201,5.182045375810246e-18,9.649656442609539e-20,9.649656442609538e-18,1,100
PC202,202,5.14800878353942e-18,9.586275789205032e-20,9.586275789205031e-18,1,100
PC203,203,5.127007713600603e-18,9.547169008939699e-20,9.5471690089397e-18,1,100
PC204,204,4.9476353029705075e-18,9.213153767401512e-20,9.21315376740151e-18,1,100
PC205,205,4.7503216053000914e-18,8.845729467562621e-20,8.845729467562621e-18,1,100
PC206,206,4.5477861612268345e-18,8.4685815826982e-20,8.468581582698201e-18,1,100
PC207,207,4.254035598767035e-18,7.921579037951634e-20,7.921579037951633e-18,1,100
PC208,208,4.244496982910274e-18,7.903816868908222e-20,7.903816868908223e-18,1,100
PC209,209,3.9908115975911575e-18,7.431421002930739e-20,7.43142100293074e-18,1,100
PC210,210,3.846987388414165e-18,7.163601231771173e-20,7.163601231771172e-18,1,100
PC211,211,3.842063245148808e-18,7.15443182329654e-20,7.15443182329654e-18,1,100
PC212,212,3.8369974157183614e-18,7.14499857637268e-20,7.14499857637268e-18,1,100
PC213,213,3.604146983355276e-18,6.711400158785388e-20,6.7114001587853885e-18,1,100
PC214,214,3.0816705661732844e-18,5.738479707585469e-20,5.738479707585469e-18,1,100
PC215,215,2.93169028990682e-18,5.459196522244246e-20,5.459196522244246e-18,1,100
PC216,216,2.7035543254174545e-18,5.03437706971648e-20,5.0343770697164804e-18,1,100
PC217,217,2.6940417145820094e-18,5.016663325475108e-20,5.016663325475108e-18,1,100
PC218,218,2.66815297051222e-18,4.968455047104899e-20,4.968455047104899e-18,1,100
PC219,219,2.532499388294808e-18,4.7158500680520783e-20,4.7158500680520784e-18,1,100
PC220,220,2.527125710288895e-18,4.7058435662116423e-20,4.705843566211642e-18,1,100
PC221,221,2.3909617682538358e-18,4.4522882294245194e-20,4.45228822942452e-18,1,100
PC222,222,2.32371851185825e-18,4.327072359002263e-20,4.327072359002263e-18,1,100
PC223,223,2.2281144912322732e-18,4.149044980492752e-20,4.149044980492751e-18,1,100
PC224,224,1.775359253056427e-18,3.30595462057755e-20,3.3059546205775494e-18,1,100
PC225,225,1.571112460699345e-18,2.925619978015165e-20,2.9256199780151653e-18,1,100
PC226,226,1.4818179846727114e-18,2.759341809185908e-20,2.7593418091859076e-18,1,100
PC227,227,1.3629695701948754e-18,2.538030283468003e-20,2.538030283468003e-18,1,100
PC228,228,1.0994102725133003e-18,2.0472478818405373e-20,2.047247881840537e-18,1,100
PC229,229,9.939113774199589e-19,1.8507949334588425e-20,1.8507949334588426e-18,1,100
PC230,230,9.393688632928775e-19,1.749229531253112e-20,1.7492295312531123e-18,1,100
PC231,231,8.300289527606123e-19,1.5456241022024156e-20,1.5456241022024154e-18,1,100
PC232,232,5.748683176740124e-19,1.0704811253081294e-20,1.0704811253081295e-18,1,100
PC233,233,4.7923132777297955e-19,8.923923536315615e-21,8.923923536315615e-19,1,100
PC234,234,3.5262290483464794e-19,6.566306619646915e-21,6.566306619646915e-19,1,100
PC235,235,1.4250112242546408e-19,2.6535600797917874e-21,2.6535600797917875e-19,1,100
PC236,236,7.872522093721005e-20,1.4659681271004478e-21,1.4659681271004478e-19,1,100
