PC1,PC2,doc_id,book,chapter,section
-4.436054000673305e-4,-0.00707972497100049,Isaiah_62,Isaiah,62,Isaiah_56_66
0.0033972601862111117,0.002032047712485265,Isaiah_63,Isaiah,63,Isaiah_56_66
0.017095099697773217,0.001148030716567522,Isaiah_64,Isaiah,64,Isaiah_56_66
0.005213527986037086,-0.004630366520651281,Isaiah_65,Isaiah,65,Isaiah_56_66
0.002439616794972258,-0.00358089428689953,Isaiah_66,Isaiah,66,Isaiah_56_66
-0.016629234150525307,-0.003274816136779499,Jeremiah_1,Jeremiah,1,Jeremiah
0.0038417807729109062,0.0024073031602586076,Jeremiah_2,Jeremiah,2,Jeremiah
-0.001356319027544139,0.0015161528664345736,Jeremiah_3,Jeremiah,3,Jeremiah
0.005056668477329825,0.002050200697492931,Jeremiah_4,Jeremiah,4,Jeremiah
-0.005353284525571217,-0.005861803628588719,Jeremiah_5,Jeremiah,5,Jeremiah
-0.0048697053184554645,-0.005472648766707147,Jeremiah_6,Jeremiah,6,Jeremiah
-0.008425458237203491,-0.001867676247805702,Jeremiah_7,Jeremiah,7,Jeremiah
-0.014394278070297032,-0.006921337442180983,Jeremiah_8,Jeremiah,8,Jeremiah
-0.0032912204048399876,-0.004083001326224885,Jeremiah_9,Jeremiah,9,Jeremiah
-0.005256026226176725,-0.005136831193493959,Jeremiah_10,Jeremiah,10,Jeremiah
-0.011121564048123608,-0.0038504528565161287,Jeremiah_11,Jeremiah,11,Jeremiah
-0.004498746920757833,-0.005934472791455941,Jeremiah_12,Jeremiah,12,Jeremiah
-0.002302316633050148,-0.0022126599740439515,Jeremiah_13,Jeremiah,13,Jeremiah
-0.00926228216170916,-0.0032250851846722032,Jeremiah_14,Jeremiah,14,Jeremiah
-0.003177593064479387,-0.0016155011278802304,Jeremiah_15,Jeremiah,15,Jeremiah
-0.013902274364023625,-0.007565711973787168,Jeremiah_16,Jeremiah,16,Jeremiah
-0.005092375313439578,-0.0034868856629414816,Jeremiah_17,Jeremiah,17,Jeremiah
-0.0033546687542460357,1.1050259773102267e-4,Jeremiah_18,Jeremiah,18,Jeremiah
-0.015194580292009983,-0.005185294355713118,Jeremiah_19,Jeremiah,19,Jeremiah
-0.0016748025510400124,4.890013527708786e-5,Jeremiah_20,Jeremiah,20,Jeremiah
-0.005019703304366046,-3.9343978925076466e-4,Jeremiah_21,Jeremiah,21,Jeremiah
-1.2877982455987842e-4,0.0011319770898622758,Jeremiah_22,Jeremiah,22,Jeremiah
-0.009379386595991144,-0.008155965327975079,Jeremiah_23,Jeremiah,23,Jeremiah
-0.015086408288952866,1.819226771017831e-4,Jeremiah_24,Jeremiah,24,Jeremiah
-0.014893467860851597,-3.5418386197761076e-4,Jeremiah_25,Jeremiah,25,Jeremiah
-0.01173357077548027,-1.626633022160554e-4,Jeremiah_26,Jeremiah,26,Jeremiah
-0.011935951779868807,0.002769511925650075,Jeremiah_27,Jeremiah,27,Jeremiah
-0.012191223119290556,-0.006870666368456595,Jeremiah_28,Jeremiah,28,Jeremiah
-0.005317312154240724,7.024653270718637e-4,Jeremiah_29,Jeremiah,29,Jeremiah
-0.003250837531269124,-0.007610770030780206,Jeremiah_30,Jeremiah,30,Jeremiah
-0.006797758364359763,-0.006923636240905009,Jeremiah_31,Jeremiah,31,Jeremiah
-0.010415520741431037,0.0027999852109962453,Jeremiah_32,Jeremiah,32,Jeremiah
-0.009750318414027395,-0.00292774695611013,Jeremiah_33,Jeremiah,33,Jeremiah
-0.010961014973723844,0.003199496640140706,Jeremiah_34,Jeremiah,34,Jeremiah
-0.0099083020006214,0.0031158949415411885,Jeremiah_35,Jeremiah,35,Jeremiah
-0.0180735934396798,-0.0013323078326259819,Jeremiah_36,Jeremiah,36,Jeremiah
-0.007885203549546067,0.004823884710619777,Jeremiah_37,Jeremiah,37,Jeremiah
-0.011359913704706702,0.0016187645108474604,Jeremiah_38,Jeremiah,38,Jeremiah
-0.012242328546011469,0.003287137235397194,Jeremiah_39,Jeremiah,39,Jeremiah
-0.007432970916662305,0.009501963840353417,Jeremiah_40,Jeremiah,40,Jeremiah
-0.013162072666084898,0.007246955745874933,Jeremiah_41,Jeremiah,41,Jeremiah
-0.004912580949821638,-0.002968420446696812,Jeremiah_42,Jeremiah,42,Jeremiah
-0.015903872762231135,-3.260243511420419e-4,Jeremiah_43,Jeremiah,43,Jeremiah
-0.006045483613871111,0.003820938397479696,Jeremiah_44,Jeremiah,44,Jeremiah
0.0036245453407209595,6.941506597094955e-4,Jeremiah_45,Jeremiah,45,Jeremiah
-0.004755967729264485,6.816653498513534e-4,Jeremiah_46,Jeremiah,46,Jeremiah
-0.009195538489632058,-0.006166398111204691,Jeremiah_47,Jeremiah,47,Jeremiah
0.005174362866427709,-4.0926518298196083e-05,Jeremiah_48,Jeremiah,48,Jeremiah
-0.003128422597556111,-0.004320419049007628,Jeremiah_49,Jeremiah,49,Jeremiah
-0.0072939167132505325,-0.0043601293654905665,Jeremiah_50,Jeremiah,50,Jeremiah
-0.0012286964610831123,-8.885748035258822e-4,Jeremiah_51,Jeremiah,51,Jeremiah
