source_doc,target_doc,similarity,rank,source_corpus,source_book,source_chapter,source_header,author,author_code,short_name,chapter_original,chapter_title,target_corpus,target_source,target_book,target_chapter,target_section,target_genre,target_header
SR-11,Jarom_1,0.9066172215910738,14,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,Jarom,1,MP-3,Modern_Scripture,Jarom 1
SR-11,1_Nephi_15,0.9053786626840841,15,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,1 Nephi,15,MP-3,Modern_Scripture,1 Nephi 15
SR-11,Alma_30,0.9044694293673295,16,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,Alma,30,MP-1,Modern_Scripture,Alma 30
SR-11,Omni_1,0.9044002810187075,17,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,Omni,1,MP-3,Modern_Scripture,Omni 1
SR-11,DC_1835__070__section_72,0.9031408985872236,18,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,72,Section 72,Modern_Scripture,Section 72 (1835 Doctrine and Covenants)
SR-11,Jeremiah_23,0.9025894809815647,19,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",KJV,KJV,Jeremiah,23,Jeremiah,Prophetic,Jeremiah 23
SR-11,Alma_11,0.9022072040931709,20,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,Alma,11,MP-1,Modern_Scripture,Alma 11
SR-12,1_Nephi_22,0.9453853021354856,1,JSO,Sidney Rigdon,12,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",Sidney Rigdon,SR,SR-12,3-10,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",BOM,BOM_1830,1 Nephi,22,MP-3,Modern_Scripture,1 Nephi 22
SR-12,DC_1835__018__section_20,0.9391662414118971,2,JSO,Sidney Rigdon,12,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",Sidney Rigdon,SR,SR-12,3-10,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,20,Section 20,Modern_Scripture,Section 20 (1835 Doctrine and Covenants)
SR-12,BOC_1833__Book_of_Commandments_24,0.9354320580782471,3,JSO,Sidney Rigdon,12,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",Sidney Rigdon,SR,SR-12,3-10,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",BOC,BOC_1833,Book of Commandments,24,BOC_24,Modern_Revelation,"[edit] The Articles and Covenants of the church of Christ, given in Fayette, New-York, June, 1830;"
SR-12,DC_1835__066__section_68,0.9338882425271203,4,JSO,Sidney Rigdon,12,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",Sidney Rigdon,SR,SR-12,3-10,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,68,Section 68,Modern_Scripture,Section 68 (1835 Doctrine and Covenants)
SR-12,Mosiah_7,0.9280511074784246,5,JSO,Sidney Rigdon,12,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",Sidney Rigdon,SR,SR-12,3-10,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",BOM,BOM_1830,Mosiah,7,MP-1,Modern_Scripture,Mosiah 7
SR-12,DC_1835__001__section_1,0.9279740862086554,6,JSO,Sidney Rigdon,12,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",Sidney Rigdon,SR,SR-12,3-10,"Series of 14 articles from LDS Messenger and Advocate (Vol 1, 3: Kirtland, OH December 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,1,Section 1,Modern_Scripture,Section 1 (1835 Doctrine and Covenants)
