source_doc,short_name,source_header,target_corpus,target_book,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOM,1 Nephi,1,0.8708868723950898,0.8708868723950898,0.8708868723950898,0.05,0.049220591814176526
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,1 Samuel,6,5.122782860553351,0.8537971434255586,0.8703555177451917,0.3,0.3001282935795559
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,2 Kings,4,3.457051906023206,0.8642629765058015,0.8743036908222444,0.2,0.20253817458478443
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",DC,Doctrine and Covenants,3,2.5344156014086963,0.8448052004695653,0.8465391748275507,0.15,0.14848371488266288
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,Isaiah,2,1.6972200608481465,0.8486100304240732,0.8550581887121697,0.1,0.09943497012409419
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",BOM,Alma,2,1.6952303347335853,0.8476151673667927,0.8513200774963178,0.1,0.0993183981124143
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,Job,1,0.8589711205378703,0.8589711205378703,0.8589711205378703,0.05,0.05032450987260914
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,2 Samuel,1,0.8556612833442054,0.8556612833442054,0.8556612833442054,0.05,0.050130596561035856
SR-2,SR-2,"To the Public. Ohio Star, Vol III, No.5: January 12, 1832",KJV,1 Kings,1,0.8473103764674021,0.8473103764674021,0.8473103764674021,0.05,0.04964134228284339
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,Alma,7,6.439101622101443,0.9198716603002062,0.9268621636159018,0.35,0.3495713267441547
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,Mosiah,4,3.693804350290577,0.9234510875726443,0.9347347128690958,0.2,0.20053233560289738
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,Ether,2,1.84691542746735,0.923457713733675,0.9236488607183421,0.1,0.10026688725457698
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",KJV,1 Samuel,2,1.8385420015652993,0.9192710007826497,0.9194297727025854,0.1,0.09981230371579158
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,1 Nephi,1,0.9231609510126447,0.9231609510126447,0.9231609510126447,0.05,0.05011733272483547
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,2 Nephi,1,0.9231243096261128,0.9231243096261128,0.9231243096261128,0.05,0.05011534350664085
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",DC,Doctrine and Covenants,1,0.9209617008339424,0.9209617008339424,0.9209617008339424,0.05,0.049997937994338826
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",KJV,Jeremiah,1,0.9201106755047214,0.9201106755047214,0.9201106755047214,0.05,0.04995173682049688
SR-20,SR-20,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 3: Kirtland, OH December 1834) titled Gospel",BOM,Jarom,1,0.9142726209008403,0.9142726209008403,0.9142726209008403,0.05,0.049634795636267284
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,Alma,6,5.4305162541404135,0.9050860423567355,0.9092122800903043,0.3,0.29948489900906955
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",DC,Doctrine and Covenants,3,2.73322680579314,0.9110756019310466,0.9255479497189967,0.15,0.15073339542584774
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,3 Nephi,3,2.718913556304466,0.9063045187681554,0.9214080688671871,0.15,0.1499440409930461
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,Mosiah,3,2.7112239955025825,0.9037413318341943,0.916426448514513,0.15,0.14951997314527557
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOC,Book of Commandments,1,0.9228711606734832,0.9228711606734832,0.9228711606734832,0.05,0.050894972672617396
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,Helaman,1,0.9106607643583747,0.9106607643583747,0.9106607643583747,0.05,0.05022158746646819
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,1 Nephi,1,0.9078196543436086,0.9078196543436086,0.9078196543436086,0.05,0.050064904472434765
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,Mormon,1,0.9013405959739115,0.9013405959739115,0.9013405959739115,0.05,0.04970759403439985
SR-21,SR-21,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 4: Kirtland, OH January 1835) titled Gospel",BOM,Ether,1,0.8962822320071818,0.8962822320071818,0.8962822320071818,0.05,0.04942863278084093
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",DC,Doctrine and Covenants,5,4.708267396741065,0.9416534793482131,0.9557267860705706,0.25,0.25215044703018186
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",BOM,Alma,5,4.650300833597661,0.9300601667195322,0.9342161095881538,0.25,0.24904605775536504
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",BOM,Mosiah,4,3.7173972313495556,0.9293493078373889,0.9375604752974575,0.2,0.19908456650579243
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",BOC,Book of Commandments,2,1.8711179520369898,0.9355589760184949,0.9363791640398316,0.1,0.10020739866620462
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",KJV,1 Kings,2,1.8623560040520015,0.9311780020260008,0.9352090554772751,0.1,0.09973815405558645
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",KJV,2 Kings,1,0.9354475868885624,0.9354475868885624,0.9354475868885624,0.05,0.05009773390749241
SR-22,SR-22,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 5: Kirtland, OH February 1835) titled Gospel",BOM,2 Nephi,1,0.9275660970234767,0.9275660970234767,0.9275660970234767,0.05,0.0496756420793773
SR-23,SR-23,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Gospel",BOM,Alma,11,10.244802433079293,0.9313456757344812,0.9381032850376013,0.55,0.549908315370188
SR-23,SR-23,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Gospel",BOM,Mosiah,5,4.67886494029414,0.935772988058828,0.94544800984502,0.25,0.2511465451841253
SR-23,SR-23,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Gospel",BOM,Helaman,2,1.8549321127627785,0.9274660563813892,0.9300165540232928,0.1,0.09956683888425631
SR-23,SR-23,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Gospel",BOM,Ether,1,0.9257212992866817,0.9257212992866817,0.9257212992866817,0.05,0.04968976644677289
SR-23,SR-23,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 6: Kirtland, OH March 1835) titled Gospel",BOM,3 Nephi,1,0.92569834091580006,0.92569834091580006,0.92569834091580006,0.05,0.0496885341146574
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",BOM,Alma,10,9.117157160301767,0.9117157160301768,0.9369553271076834,0.5,0.4992472185841745
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",BOM,Mosiah,4,3.6417299609744496,0.9104324902436124,0.9134416169322358,0.2,0.19941781433445976
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",BOC,Book of Commandments,1,0.9387685175725471,0.9387685175725471,0.9387685175725471,0.05,0.051406108620482546
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",DC,Doctrine and Covenants,1,0.9331649498533814,0.9331649498533814,0.9331649498533814,0.05,0.05109926235812757
SR-24,SR-24,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 8: Kirtland, OH May 1835) titled Gospel",BOM,Helaman,1,0.9206520719633209,0.9206520719633209,0.9206520719633209,0.05,0.050414068566547766
