corpus_id,doc_id,feature_set,neighbor_section,top5_count,similarity_sum,weighted_similarity_sum
KJV,Psalms_33,char3,Jeremiah,4,3.030132183941252,8.306187499451028
KJV,Psalms_33,char4,Psalms,8,5.460026508546406,17.655077304163378
KJV,Psalms_33,function_words,Psalms,5,3.4161548314898154,11.216808155183676
KJV,Psalms_33,pos3,Psalms,5,3.1279954429752324,9.54546133747205
KJV,Psalms_33,word3,Psalms,8,5.415213109936745,17.3300318968185
KJV,Psalms_34,char3,Psalms,5,3.3667785125476435,9.90351788317605
KJV,Psalms_34,char4,Psalms,7,4.946924966082456,15.58776373012767
KJV,Psalms_34,function_words,Isaiah_40_55,2,1.8557578455013286,6.49547178476811
KJV,Psalms_34,pos3,Psalms,7,4.366378549475847,13.853549167338736
KJV,Psalms_34,word3,Psalms,10,5.835809916662042,17.82091713442173
KJV,Psalms_35,char3,Psalms,4,2.7530502023724486,12.398157434686752
KJV,Psalms_35,char4,Psalms,8,5.197064596516569,17.02414755103624
KJV,Psalms_35,function_words,Psalms,9,6.170371883604249,19.62897963917097
KJV,Psalms_35,pos3,Psalms,8,5.34059251810633,16.787782575693388
KJV,Psalms_35,word3,Psalms,10,5.427625255822749,16.60644301169742
KJV,Psalms_36,char3,Psalms,4,2.2472969419043887,7.8829955126596145
KJV,Psalms_36,char4,Psalms,6,4.157292492747171,12.142005957035433
KJV,Psalms_36,function_words,Proverbs,4,2.705565426665011,11.762652119270538
KJV,Psalms_36,pos3,Psalms,6,3.779458808081048,10.104151941158314
KJV,Psalms_36,word3,Psalms,6,4.595428713963574,13.679642347808244
KJV,Psalms_37,char3,Isaiah_1_35,3,2.5384924081819857,9.330616625585545
KJV,Psalms_37,char4,Psalms,5,3.6892079227416037,11.180090288749847
KJV,Psalms_37,function_words,Isaiah_1_35,3,2.459057682409309,10.403318831722189
KJV,Psalms_37,pos3,Psalms,5,2.846466883384904,8.574647079925018
KJV,Psalms_37,word3,Psalms,7,4.7983986834751144,14.705104551793026
KJV,Psalms_38,char3,Psalms,6,3.639834138149321,11.857023247062067
KJV,Psalms_38,char4,Psalms,8,4.678166389803772,13.892212720824274
KJV,Psalms_38,function_words,Psalms,8,5.100397230486046,15.115357816469391
KJV,Psalms_38,pos3,Psalms,6,4.363419231538884,11.679284065390137
KJV,Psalms_38,word3,Psalms,10,5.240540587583731,15.839221074350101
KJV,Psalms_39,char3,Isaiah_40_55,1,0.641448662194145,3.207243310970725
KJV,Psalms_39,char4,Psalms,7,4.097342065602614,12.079735923354013
KJV,Psalms_39,function_words,Psalms,8,4.977429323855818,15.964063855058589
KJV,Psalms_39,pos3,Jeremiah,5,3.176731406997973,10.868141539429093
KJV,Psalms_39,word3,Psalms,9,4.912811043869269,14.823556994067216
KJV,Psalms_4,char3,Psalms,5,2.579539979598626,8.153227515757795
KJV,Psalms_4,char4,Psalms,8,4.734505311625121,14.698696265663681
KJV,Psalms_4,function_words,Psalms,7,3.8384778903700676,10.829617635627283
KJV,Psalms_4,pos3,Psalms,4,2.6178285518971363,7.931480107017757
KJV,Psalms_4,word3,Psalms,8,4.917598852939793,15.22850059966726
KJV,Psalms_40,char3,Psalms,5,3.1681052830008105,9.533178935394359
KJV,Psalms_40,char4,Psalms,8,5.035491531623368,14.26645171087729
KJV,Psalms_40,function_words,Psalms,9,6.361533400158362,19.339940887693718
KJV,Psalms_40,pos3,Psalms,7,4.783955596513645,15.281609592794938
KJV,Psalms_40,word3,Psalms,10,5.689601074046979,17.93578646313252
KJV,Psalms_41,char3,Psalms,5,2.7828629209779336,9.584985090031983
KJV,Psalms_41,char4,Psalms,7,4.432081578583536,13.48176540836829
KJV,Psalms_41,function_words,Psalms,4,2.859038483216813,8.623821651429392
KJV,Psalms_41,pos3,Jeremiah,5,3.84155483385942,11.725950118954863
KJV,Psalms_41,word3,Psalms,8,4.8888288867274206,14.722192179862613
KJV,Psalms_42,char3,Psalms,6,3.6588139302967395,12.830840482632786
KJV,Psalms_42,char4,Psalms,7,4.6238790382891155,14.290222523459002
KJV,Psalms_42,function_words,Psalms,10,6.2251966830166605,18.983031798675924
KJV,Psalms_42,pos3,Psalms,10,5.173107666648199,15.660622059414312
KJV,Psalms_42,word3,Psalms,8,5.138638023265678,16.551861357614865
KJV,Psalms_43,char3,Psalms,9,5.024071091062062,16.66703496065182
KJV,Psalms_43,char4,Psalms,8,5.005798333437356,16.512519165365525
KJV,Psalms_43,function_words,Psalms,9,5.211310006661767,17.721626952270825
KJV,Psalms_43,pos3,Psalms,5,2.9564543491068256,9.351842887073515
KJV,Psalms_43,word3,Psalms,10,5.6238818163007265,17.676740715420298
KJV,Psalms_44,char3,Psalms,3,1.6694964795003515,6.133994707868111
KJV,Psalms_44,char4,Psalms,7,4.581424458428342,14.372018184655683
KJV,Psalms_44,function_words,Psalms,4,2.2151287156544335,9.794665011226316
KJV,Psalms_44,pos3,Psalms,4,2.6426552337334788,8.022953070293191
KJV,Psalms_44,word3,Psalms,9,4.95839771490224,15.289411748282681
KJV,Psalms_45,char3,Ezekiel,2,1.301282532748619,4.966721121529728
KJV,Psalms_45,char4,Psalms,7,4.624787981059035,13.017207629116
KJV,Psalms_45,function_words,Ezekiel,3,2.2929450435248784,9.6864989998923825
KJV,Psalms_45,pos3,Psalms,5,3.4562277072010517,11.431872627955974
KJV,Psalms_45,word3,Psalms,10,5.10482333556328,15.536615055500954
KJV,Psalms_46,char3,Psalms,3,1.9125776297413175,6.552247925627246
KJV,Psalms_46,char4,Psalms,6,4.305088504507282,13.025615695209618
